company_name,uid,sitz,kanton
Dufry Altay AG,CHE-236.557.809,Basel,BS
DUFRY Basel-Mulhouse AG,CHE-110.129.802,Basel,BS
Dufry Holdings & Investments AG,CHE-115.328.148,Basel,BS
DUFRY INTERNATIONAL AG,CHE-102.735.389,Basel,BS
Dufry Trading AG,CHE-263.275.905,Basel,BS
dumaris ag,CHE-166.822.329,Basel,BS
Dune Switzerland AG,CHE-384.407.722,Basel,BS
"Dunkel & Schürch AG, Elektrische Anlagen",CHE-105.823.529,Bubendorf,BL
DUO. Fitness & Health AG,CHE-223.004.435,Reinach (BL),BL
Du Pont Basel AG,CHE-137.198.641,Basel,BS
Dups AG,CHE-102.851.067,Liestal,BL
Dürig Immobilien AG,CHE-103.012.655,Basel,BS
Dürig Meerwein Architekten AG,CHE-112.165.192,Basel,BS
Durlux AG,CHE-102.542.850,Allschwil,BL
Dürrenberger Holding AG,CHE-109.695.791,Basel,BS
Dürrenberger Maler AG,CHE-155.843.557,Basel,BS
Durrisol Kuster AG,CHE-439.801.674,Frenkendorf,BL
Durtschi AG,CHE-105.825.505,Muttenz,BL
Dutch Sense AG in Liquidation,CHE-373.374.461,Therwil,BL
Duttweiler Holding AG,CHE-224.395.204,Liestal,BL
Duttweiler & Partner Wirtschaftsprüfung AG,CHE-113.952.407,Liestal,BL
Duttweiler Treuhand AG,CHE-107.783.125,Liestal,BL
DüWe80 AG,CHE-100.995.726,Allschwil,BL
dV holding ag,CHE-113.842.397,Basel,BS
DXC RT AG,CHE-158.638.769,Aesch (BL),BL
Dybly AG in Liquidation,CHE-113.312.484,Basel,BS
DYMA Immobilien AG,CHE-114.446.868,Basel,BS
Dynaflex Steel AG,CHE-101.586.193,Reinach (BL),BL
e4 AG,CHE-104.797.987,Oberdorf (BL),BL
E. + A. Buser Immobilien AG,CHE-101.783.003,Ormalingen,BL
Eaglehawk Energy AG,CHE-160.431.120,Basel,BS
Eaglehawk Holding AG,CHE-326.895.323,Basel,BS
EA Investigation & Security Services AG in Liquidation,CHE-114.081.146,Basel,BS
E. ANWANDER & CIE. AG,CHE-107.735.089,Oberwil (BL),BL
Eardley Finanz AG in Liquidation,CHE-112.436.296,Basel,BS
Eardley Holding AG,CHE-100.646.361,Basel,BS
Eartha AG,CHE-357.768.353,Basel,BS
EAST Energy Automation & Security Technologies AG,CHE-101.380.361,Basel,BS
Eastvision Management AG,CHE-101.360.973,Basel,BS
Eastwood AG,CHE-338.448.830,Basel,BS
easyrain AG,CHE-311.932.760,Basel,BS
Easy Walk AG,CHE-112.657.472,Basel,BS
Eberle Bautenschutz AG,CHE-464.077.763,Muttenz,BL
Eberle Group AG,CHE-101.634.917,Birsfelden,BL
Ebi & Co. AG,CHE-107.789.978,Füllinsdorf,BL
EBL Fernwärme AG,CHE-225.860.267,Liestal,BL
EBL INFRASTRUKTUR MANAGEMENT AG,CHE-158.527.213,Liestal,BL
EBLS Schweiz Strom AG,CHE-347.803.232,Liestal,BL
EBL Stromproduktion AG,CHE-457.784.370,Liestal,BL
EBL Wind Invest AG,CHE-370.118.631,Liestal,BL
Ebnet AG,CHE-105.582.900,Diegten,BL
Ebrotrans AG,CHE-106.528.062,Reinach (BL),BL
eccleo AG,CHE-294.926.727,Gelterkinden,BL
ECG Euro Consult Group (Switzerland) AG,CHE-101.118.685,Basel,BS
echt immo AG,CHE-100.166.463,Riehen,BS
EC Immo AG,CHE-183.229.641,Basel,BS
Ecinos AG,CHE-103.528.775,Bottmingen,BL
Eckenstein Art AG,CHE-106.254.597,Basel,BS
Eckhirsch Group AG,CHE-442.851.394,Arlesheim,BL
Eckhirsch Immobilien AG,CHE-100.486.502,Arlesheim,BL
Eckhirsch putzART AG,CHE-372.646.071,Arlesheim,BL
eClever Holding AG,CHE-258.943.351,Basel,BS
EcoClay AG,CHE-426.321.229,Liestal,BL
Eco-Invest AG,CHE-114.961.260,Basel,BS
ECOLEC AG,CHE-105.215.873,Arlesheim,BL
EcoLine Systems AG,CHE-151.874.719,Sissach,BL
e-con engineering AG,CHE-101.785.769,Basel,BS
Econet AG,CHE-187.555.281,Basel,BS
Econet Trading Ltd,CHE-107.399.844,Arlesheim,BL
Econ Geologie AG,CHE-233.361.546,Liestal,BL
Economy Trading & Consulting Corporation,CHE-103.191.747,Basel,BS
Econova AG,CHE-108.403.365,Reinach (BL),BL
EconSight AG,CHE-273.818.084,Basel,BS
Econtra AG,CHE-103.009.558,Basel,BS
ecorelining ag,CHE-362.659.273,Diegten,BL
ecos AG,CHE-107.610.855,Basel,BS
ECOSUN AG,CHE-371.457.691,Basel,BS
ecoTank AG,CHE-115.966.774,Bubendorf,BL
ecotawa ag,CHE-114.257.310,Basel,BS
Ecotherm Solar AG,CHE-463.371.266,Wahlen,BL
EcoTool AG,CHE-448.618.117,Basel,BS
Ecoverde AG,CHE-348.037.931,Muttenz,BL
ecowerk AG,CHE-154.252.543,Reinach (BL),BL
E.C.T. Euro-China Trading AG in Liquidation,CHE-353.520.593,Basel,BS
EDAG AG,CHE-105.811.615,Reigoldswil,BL
Ed. Baader AG,CHE-100.175.798,Gelterkinden,BL
Ed. Borer AG,CHE-101.293.265,Basel,BS
Edco Dreier + Co. AG,CHE-107.781.480,Allschwil,BL
edea AG,CHE-112.689.874,Basel,BS
edeco AG,CHE-109.494.270,Aesch (BL),BL
Edelstahl-Maurer AG,CHE-106.389.671,Aesch (BL),BL
Edelweiss Reisen AG,CHE-115.208.544,Reinach (BL),BL
edge identity AG,CHE-467.523.693,Basel,BS
Edith Maryon AG,CHE-365.375.412,Basel,BS
Editorial Media Group AG in Liquidation,CHE-103.465.212,Pratteln,BL
Edmund Jourdan AG,CHE-105.804.667,Muttenz,BL
Edomat AG,CHE-103.278.785,Basel,BS
Ed Real Holding AG,CHE-101.095.682,Basel,BS
EDROP Engineering AG in Liquidation,CHE-226.177.411,Röschenz,BL
Eduard Fuchs-Aktiengesellschaft,CHE-102.326.499,Allschwil,BL
Eduard Fussinger AG,CHE-102.534.626,Oberdorf (BL),BL
Eduard Meyer AG,CHE-103.645.292,Pratteln,BL
educampus AG,CHE-180.256.481,Basel,BS
Edu Key Data AG,CHE-248.341.328,Basel,BS
EduMedia AG,CHE-103.551.969,Basel,BS
Ed Venture AG,CHE-140.834.621,Allschwil,BL
Ed. V. Fux AG,CHE-102.326.200,Gelterkinden,BL
EEPK AG,CHE-177.935.498,Basel,BS
E. Erny Tiefbau- und Umgebungsarbeiten AG,CHE-114.754.910,Rothenfluh,BL
eezy tool AG,CHE-102.417.570,Basel,BS
E + F Automobile AG,CHE-107.407.811,Augst,BL
EfBe Immobilien AG,CHE-109.376.541,Binningen,BL
Effizienzagentur Schweiz AG,CHE-113.200.514,Basel,BS
EFIAG - Emissions- und Finanz AG,CHE-346.082.493,Basel,BS
Efida AG,CHE-102.735.521,Birsfelden,BL
Egeler AG,CHE-107.738.952,Basel,BS
Egeler Lutz AG,CHE-114.942.015,Basel,BS
Egge AG,CHE-108.024.967,Lausen,BL
Eggenschwiler Perroud AG Architekten ETH/FH/SIA,CHE-105.617.527,Laufen,BL
Eggenschwiler Real Estate AG,CHE-479.270.257,Laufen,BL
Egger Dommer Bär AG,CHE-195.955.702,Basel,BS
Eggfluh Immobilien AG,CHE-304.719.646,Grellingen,BL
Egilon AG,CHE-112.800.717,Basel,BS
E & G Immobilien AG,CHE-107.981.990,Ettingen,BL
Egin Immobilien AG,CHE-158.781.786,Pratteln,BL
EGK Grundversicherungen AG,CHE-317.024.660,Laufen,BL
EGK Privatversicherungen AG,CHE-114.573.395,Laufen,BL
EGK Services AG,CHE-114.573.403,Laufen,BL
"Egli AG Basel, Allschwil",CHE-167.846.189,Allschwil,BL
Eglin Elektro AG Muttenz,CHE-332.424.038,Muttenz,BL
Eglin Präzisionsmechanik AG,CHE-102.478.620,Allschwil,BL
Eglin Ristic Ingenieurbüro AG,CHE-105.939.008,Basel,BS
Egloff Liegenschaften AG,CHE-101.300.652,Basel,BS
Egob AG,CHE-102.528.436,Oberdorf (BL),BL
Egon Singeisen AG in Liquidation,CHE-107.257.026,Gelterkinden,BL
EH Aviation Advisors AG,CHE-175.340.495,Riehen,BS
EHC Basel AG,CHE-198.772.434,Basel,BS
EHC Basel Gastro AG,CHE-309.856.865,Basel,BS
EHC Basel Holding AG,CHE-462.703.733,Basel,BS
EHC Basel Nachwuchs AG,CHE-114.830.445,Basel,BS
Ehrmann-Balboni Immobilien AG,CHE-103.072.143,Basel,BS
Ehrsam Bauphysik AG,CHE-279.278.938,Pratteln,BL
Ehrsam Grosshandel AG,CHE-108.020.828,Reinach (BL),BL
Ehrsam & Partner Immobilien AG,CHE-105.957.503,Pratteln,BL
EH Wasser AG,CHE-209.006.323,Biel-Benken,BL
Eiche Metzgerei + Party-Service AG,CHE-105.888.227,Basel,BS
Eichenlaub AG,CHE-103.987.663,Oberwil (BL),BL
eicher+pauli Liestal AG,CHE-437.314.883,Liestal,BL
Eifeld Immobilien AG,CHE-194.809.972,Gelterkinden,BL
Eine Software Schweiz AG,CHE-172.696.458,Basel,BS
Einrichten Schweigert AG,CHE-113.088.186,Riehen,BS
Eins Sechs Acht AG,CHE-437.069.560,Allschwil,BL
Einzigartige Freiheit AG,CHE-243.362.240,Arlesheim,BL
eira ag,CHE-116.380.192,Ormalingen,BL
eira healthcare ag,CHE-278.507.384,Gelterkinden,BL
EISENHUT-VET AG in Liquidation,CHE-320.413.329,Allschwil,BL
Eisenmann AG,CHE-375.274.942,Basel,BS
EISENMANN RE INTERNATIONAL AG,CHE-390.021.437,Allschwil,BL
Eisweiher AG,CHE-137.764.256,Oberwil (BL),BL
"E. Kalt AG, Klima- und Energietechnik",CHE-105.932.532,Basel,BS
EK Auto AG,CHE-158.968.238,Füllinsdorf,BL
EK Beteiligungen AG,CHE-240.214.399,Basel,BS
EKG Hotel AG,CHE-104.934.758,Liestal,BL
Eko Kollektiv AG,CHE-209.951.888,Pratteln,BL
ekona AG,CHE-311.704.650,Basel,BS
Ekon Investment AG,CHE-192.779.136,Basel,BS
EKO-Storen AG,CHE-104.371.542,Binningen,BL
EK Spalenring AG,CHE-102.753.631,Basel,BS
Elaaj Bio AG,CHE-352.316.759,Allschwil,BL
Elam AG,CHE-102.899.743,Basel,BS
elamro ag,CHE-306.822.864,Basel,BS
Elanco Financing SA,CHE-100.659.636,Basel,BS
Elanco Tiergesundheit AG,CHE-101.648.167,Basel,BS
ELAN Management AG,CHE-106.354.454,Basel,BS
Elan Personal AG,CHE-106.015.325,Basel,BS
Elda Coiffure AG,CHE-101.254.816,Basel,BS
Eldar Store AG,CHE-406.275.342,Aesch (BL),BL
ELDICO Scientific AG,CHE-348.829.814,Allschwil,BL
Electro-Cal Boiler AG,CHE-106.078.544,Reinach (BL),BL
electro-m AG in Liquidation,CHE-274.599.878,Basel,BS
Electrosuisse Control AG,CHE-220.774.264,Münchenstein,BL
Elektrizität NW AG in Liquidation,CHE-239.976.812,Basel,BS
Elektrizitäts AG EAGB in Nachlassliquidation,CHE-101.444.966,Basel,BS
ELEKTRO 3 AG,CHE-109.590.175,Basel,BS
"Elektro-Aktiengesellschaft, vorm. Fritz Leisinger",CHE-107.731.921,Basel,BS
Elektro Brodbeck AG,CHE-107.706.490,Reinach (BL),BL
Elektro Brönnimann AG,CHE-105.804.839,Sissach,BL
Elektro Degen AG,CHE-109.422.098,Bubendorf,BL
Elektro Dörflinger AG in Liquidation,CHE-101.208.414,Basel,BS
Elektro Due AG,CHE-173.840.918,Basel,BS
Elektro Gebhardt AG,CHE-114.001.578,Basel,BS
Elektro Haushalt Regio AG,CHE-246.039.373,Itingen,BL
Elektro Höfler AG,CHE-324.326.907,Sissach,BL
ElektroLife Nordwestschweiz AG,CHE-314.571.517,Muttenz,BL
Elektro Mühlethaler AG,CHE-107.785.443,Münchenstein,BL
Elektro Naegelin AG,CHE-115.713.279,Frenkendorf,BL
Elektronik Distribution AG,CHE-225.778.298,Basel,BS
elektroNWS AG,CHE-473.021.158,Allschwil,BL
Elektro Peyer AG,CHE-322.481.916,Oberdorf (BL),BL
Elektro-Schmidlin AG,CHE-108.161.819,Muttenz,BL
elektro swin ag,CHE-363.367.815,Zunzgen,BL
Elektrotechnik AG EAGB,CHE-156.395.805,Basel,BS
Elektro Völlmin AG,CHE-109.614.278,Basel,BS
ElektroWRO AG,CHE-219.474.074,Basel,BS
Elementa AG,CHE-109.381.186,Basel,BS
E. Lerch Immobilien AG,CHE-107.259.858,Itingen,BL
Eletta Instrumentation AG,CHE-107.788.387,Muttenz,BL
Elevate Services AG in Liquidation,CHE-405.645.175,Basel,BS
Elfetin Cosmetics AG in Liquidation,CHE-115.099.083,Reinach (BL),BL
Elfte PCE River Cruiser AG,CHE-214.069.252,Basel,BS
Elici Holding AG,CHE-421.104.966,Basel,BS
Eli Halili Jewelry & Design AG,CHE-356.680.299,Füllinsdorf,BL
Elite Capital Group AG,CHE-327.450.314,Basel,BS
Elkora Holding AG,CHE-179.770.618,Basel,BS
Ellab AG,CHE-276.230.898,Muttenz,BL
ELLECOM SWISS AG,CHE-248.667.988,Waldenburg,BL
Elliker Treuhand AG,CHE-107.738.981,Basel,BS
ELLY - Lifestyle AG,CHE-108.609.665,Bubendorf,BL
ELLY Swiss AG,CHE-214.165.559,Arisdorf,BL
Elmech AG,CHE-103.529.214,Oberwil (BL),BL
ELNO Elektronotruf AG,CHE-103.611.608,Basel,BS
Eloquence Advisory AG,CHE-310.177.831,Basel,BS
Elosa Trading AG,CHE-105.565.037,Liestal,BL
Els Caials AG,CHE-100.646.579,Basel,BS
Elsener Motors AG,CHE-308.563.805,Ettingen,BL
El Sol AG,CHE-107.400.878,Allschwil,BL
EL-TECH Engineering AG,CHE-132.580.743,Basel,BS
ÉLYSÈDE AG,CHE-338.293.094,Basel,BS
Ema-Handel AG,CHE-107.292.382,Muttenz,BL
Emanuel Lang Immobilien AG,CHE-101.468.317,Basel,BS
Emasan AG,CHE-102.735.202,Basel,BS
Emba AG,CHE-100.646.591,Basel,BS
EMBS Holding AG,CHE-484.239.253,Basel,BS
EMC PARTNER AG,CHE-458.049.646,Laufen,BL
EMC PARTNER IMMOBILIEN AG,CHE-101.622.788,Laufen,BL
E-Medicus AG,CHE-113.365.078,Basel,BS
EMEES AG,CHE-362.471.321,Basel,BS
EMERGING POWER DEVELOPERS SA,CHE-112.924.727,Münchenstein,BL
Emerson Professional Tools AG,CHE-101.914.788,Sissach,BL
EMHC AG,CHE-243.639.430,Allschwil,BL
EMH Schweizerischer Ärzteverlag AG FMH/Petri Holding in Liquidation,CHE-104.464.669,Basel,BS
Emil Handschin AG,CHE-105.815.406,Therwil,BL
Emil Landsrath AG,CHE-102.092.858,Basel,BS
Emil Mangold AG,CHE-102.529.884,Oberdorf (BL),BL
Emil Völlmin & Söhne AG,CHE-101.776.552,Ormalingen,BL
Emil Werder AG,CHE-107.869.689,Bubendorf,BL
Emmer Pfenninger Partner AG,CHE-106.271.727,Münchenstein,BL
Emons Schweiz AG,CHE-106.005.700,Füllinsdorf,BL
emo objects ag,CHE-429.951.668,Basel,BS
Emo's Flachdach AG,CHE-330.295.764,Basel,BS
EMPLEA AG,CHE-233.966.525,Basel,BS
Empower Consulting AG,CHE-109.079.534,Sissach,BL
EMTO Watches & Jewelry AG in Liquidation,CHE-110.467.989,Basel,BS
EMTU AG,CHE-108.062.169,Ettingen,BL
Enamelum Holding AG,CHE-103.498.430,Basel,BS
ENA Service AG,CHE-134.107.139,Arlesheim,BL
Enator AG,CHE-113.613.738,Lupsingen,BL
Encelta AG,CHE-241.785.173,Basel,BS
ENCO Energie-Consulting AG,CHE-107.442.457,Basel,BS
Endonet Praxis AG,CHE-495.126.216,Basel,BS
Endora Tech AG,CHE-108.394.453,Bottmingen,BL
ENDO-Team AG,CHE-259.752.173,Münchenstein,BL
Endotell AG,CHE-107.389.515,Allschwil,BL
Endress Familien AG,CHE-384.796.576,Reinach (BL),BL
Endress+Hauser AG,CHE-109.305.877,Reinach (BL),BL
Endress+Hauser Beteiligungs AG,CHE-182.301.425,Reinach (BL),BL
Endress+Hauser Flowtec AG,CHE-101.754.906,Reinach (BL),BL
Endress+Hauser Group Services AG,CHE-106.227.637,Reinach (BL),BL
Endress+Hauser International AG,CHE-112.760.785,Reinach (BL),BL
Endress+Hauser Management AG,CHE-102.685.751,Reinach (BL),BL
Endress+Hauser Process Solutions AG,CHE-105.329.554,Reinach (BL),BL
Endress+Hauser (Schweiz) AG,CHE-107.783.639,Reinach (BL),BL
enelco ag,CHE-109.746.684,Muttenz,BL
Energie Diegten AG,CHE-292.080.812,Diegten,BL
Energienetze Oberbaselbiet AG in Liquidation,CHE-446.259.059,Sissach,BL
Energy Basel AG,CHE-103.524.760,Basel,BS
Energy Fabrik Group AG in Liquidation,CHE-213.690.567,Aesch (BL),BL
Energy Transport AG,CHE-274.696.702,Reinach (BL),BL
Enerva AG,CHE-172.354.101,Pratteln,BL
Enerwise Infra Partners AG,CHE-288.322.656,Basel,BS
ENGELI informa AG,CHE-109.321.623,Basel,BS
Engels Orthopädietechnik AG,CHE-108.073.569,Reinach (BL),BL
Engentis AG,CHE-104.791.393,Liestal,BL
Engimmune Therapeutics AG,CHE-218.178.555,Allschwil,BL
ENJOT Holding AG,CHE-223.832.857,Arlesheim,BL
Enlix Immobilien AG,CHE-235.179.024,Gelterkinden,BL
Enodis AG,CHE-112.458.441,Basel,BS
Enoventis AG in Liquidation,CHE-174.041.179,Basel,BS
enovo ag in Liquidation,CHE-108.658.965,Arisdorf,BL
Ensemble AG,CHE-108.073.546,Aesch (BL),BL
Ensemble Software (CH) AG,CHE-154.130.489,Basel,BS
ENTOURAGE Pharma Consulting AG,CHE-425.879.322,Basel,BS
Envases Aesch AG,CHE-102.178.224,Aesch (BL),BL
en-verre AG,CHE-313.312.338,Riehen,BS
Envitec AG,CHE-108.752.156,Reinach (BL),BL
Enzian Consulting AG,CHE-249.690.688,Basel,BS
Enzian Health Basel AG,CHE-162.499.904,Basel,BS
Enzo Life Sciences (ELS) AG,CHE-107.510.797,Lausen,BL
Enzo Life Sciences Europe AG,CHE-114.667.263,Lausen,BL
EO Holding AG,CHE-162.945.252,Muttenz,BL
Eos Clinic AG in Liquidation,CHE-250.946.989,Basel,BS
Eotec AG,CHE-106.251.802,Muttenz,BL
e+p holding AG,CHE-106.006.349,Liestal,BL
epibreed AG,CHE-450.368.036,Basel,BS
Epicelya Therapeutics AG,CHE-337.888.273,Allschwil,BL
EPI - Ehrhardt + Partner Investment AG,CHE-137.406.236,Liestal,BL
EpiPharm AG,CHE-113.711.186,Binningen,BL
Epiqure AG,CHE-300.852.996,Basel,BS
Epista Life Science AG in Liquidation,CHE-340.124.963,Basel,BS
Eplan AG,CHE-110.617.303,Reinach (BL),BL
EPL Energieplan Laufen AG,CHE-107.706.998,Laufen,BL
EPS - Ehrhardt + Partner Solutions Global AG,CHE-278.396.044,Niederdorf,BL
EPS-ExperiPath (France) Services AG,CHE-114.507.820,Lausen,BL
Equestrian Center Galms AG,CHE-150.899.668,Lausen,BL
equimo AG,CHE-368.349.500,Basel,BS
Equine Vets Schweiz AG,CHE-130.852.020,Oberwil (BL),BL
Equitour AG,CHE-103.854.370,Allschwil,BL
EqVita AG,CHE-146.951.490,Allschwil,BL
EraCal Therapeutics AG,CHE-419.108.104,Basel,BS
Eram AG,CHE-107.259.195,Allschwil,BL
Eram Holding AG,CHE-112.056.516,Allschwil,BL
erb wohndesign AG in Liquidation,CHE-105.499.653,Sissach,BL
Erdgas AG Laufental-Thierstein (GASAG),CHE-101.109.002,Laufen,BL
Erdgas Energie AG,CHE-109.542.905,Arlesheim,BL
Erdgas Mobil AG,CHE-108.743.654,Arlesheim,BL
Erdgas Transport AG,CHE-109.542.911,Arlesheim,BL
Erdsonden Energie AG,CHE-306.575.996,Pratteln,BL
EREMA AG,CHE-106.140.054,Basel,BS
Eremitage Arlesheim AG,CHE-101.443.205,Arlesheim,BL
ER Equipement Resto AG,CHE-208.898.323,Muttenz,BL
ERFA AG,CHE-102.010.234,Bubendorf,BL
E. & R. Friedrich Auto-Elektrik AG,CHE-107.738.917,Basel,BS
ERGE Schweiz AG,CHE-114.094.226,Blauen,BL
ERGOLI AG,CHE-314.914.209,Liestal,BL
Ergolz Beton AG,CHE-155.082.048,Ormalingen,BL
Ergolz-Drogerie AG,CHE-107.784.981,Lausen,BL
Ergolz Immobilien AG,CHE-271.432.058,Liestal,BL
Ergolz Klinik AG,CHE-107.614.161,Liestal,BL
Ergolz Klinik Holding AG,CHE-493.786.749,Liestal,BL
ergonom-isch ag,CHE-102.281.939,Muttenz,BL
Erich Heggendorn AG,CHE-107.788.335,Therwil,BL
Eri Immobilien AG,CHE-154.269.992,Münchenstein,BL
Erina Services AG,CHE-101.325.037,Basel,BS
ERKA Real Estates AG,CHE-379.788.967,Basel,BS
Erlin Immo AG,CHE-319.816.100,Basel,BS
ErLion Holding AG,CHE-408.551.085,Binningen,BL
Ermacora AG,CHE-107.789.748,Oberwil (BL),BL
Erne Immobilien AG,CHE-107.790.504,Läufelfingen,BL
Ernst Buser AG Ormalingen,CHE-115.769.819,Ormalingen,BL
Ernst Buser Holding AG Ormalingen,CHE-483.521.853,Ormalingen,BL
Ernst Gürtler AG,CHE-102.029.794,Allschwil,BL
Ernst Heinimann AG,CHE-422.079.650,Bennwil,BL
Ernst Keller & Co. AG,CHE-105.932.590,Basel,BS
Ernst Moser Autobetriebe AG,CHE-106.070.488,Birsfelden,BL
Ernst Selmoni AG,CHE-107.306.699,Münchenstein,BL
Ernst & Young AG,CHE-105.932.265,Basel,BS
Ernst Zuber AG,CHE-327.033.301,Arisdorf,BL
Ernst Zuber AG Immobilien,CHE-107.791.478,Arisdorf,BL
Eroba AG,CHE-107.877.708,Basel,BS
Eroca AG,CHE-102.314.869,Basel,BS
ERPA BAU AG,CHE-115.384.879,Reinach (BL),BL
Erutec AG,CHE-140.802.472,Basel,BS
Erva di Vetro AG,CHE-322.023.005,Füllinsdorf,BL
Erwin Schwarz AG,CHE-101.437.216,Basel,BS
Erwin Schwarz Büroorganisation AG,CHE-104.957.794,Basel,BS
Eryse AG in Liquidation,CHE-422.172.628,Muttenz,BL
Erzenberg Bauguss AG,CHE-103.335.704,Liestal,BL
Erzenberg Immobilien AG,CHE-101.965.886,Liestal,BL
ESC Biotech Swiss AG,CHE-354.090.916,Basel,BS
Eschbach-Kopprio AG,CHE-107.738.188,Basel,BS
E. Schelker & Sohn AG,CHE-105.880.094,Oberwil (BL),BL
Escher Huus AG,CHE-115.378.896,Lausen,BL
ESCO-Labor AG,CHE-105.721.366,Riehen,BS
Esemix Holding AG,CHE-460.269.890,Münchenstein,BL
E-SERVE AG,CHE-101.057.368,Reinach (BL),BL
ES Event AG,CHE-343.475.413,Basel,BS
E & S Holding AG,CHE-277.346.196,Riehen,BS
ES Immobilien AG,CHE-114.712.610,Aesch (BL),BL
Eskamed AG,CHE-103.707.817,Basel,BS
Eskamedia AG,CHE-109.560.398,Basel,BS
EsoCap AG,CHE-467.535.992,Basel,BS
Esomoto AG,CHE-470.735.095,Muttenz,BL
espada AG,CHE-112.844.442,Basel,BS
Esperanza AG,CHE-102.701.812,Frenkendorf,BL
Esports Innovation Group AG,CHE-102.654.176,Basel,BS
Esse Erre AG in Liquidation,CHE-113.739.807,Basel,BS
Estabelle AG,CHE-107.357.515,Niederdorf,BL
Estaniola AG,CHE-115.464.840,Basel,BS
ESTECH Industries Angenstein AG,CHE-434.832.621,Aesch (BL),BL
Estoppey Value Investments AG,CHE-290.342.504,Basel,BS
Estrella AG,CHE-105.966.910,Ettingen,BL
e-Systeme AG,CHE-107.980.803,Münchenstein,BL
ETAG Basel AG,CHE-361.401.298,Basel,BS
ETAVIS Kriegel + Co. AG,CHE-101.530.560,Muttenz,BL
ETAVIS Kriegel + Schaffner AG,CHE-105.968.955,Basel,BS
ETAVIS Services AG,CHE-111.981.734,Münchenstein,BL
EternalNet AG,CHE-422.795.930,Reinach (BL),BL
Etha AG,CHE-100.569.192,Arlesheim,BL
Ethelred AG,CHE-103.598.965,Basel,BS
Etorni AG,CHE-109.087.901,Rünenberg,BL
ETRA Immobilien AG,CHE-107.878.493,Basel,BS
ETron Energy AG,CHE-336.559.335,Basel,BS
ETS AG Personalverleih,CHE-107.366.508,Aesch (BL),BL
Ettlin Maler AG,CHE-137.863.697,Biel-Benken,BL
Eucontact AG,CHE-102.745.790,Basel,BS
Eugen Götte AG,CHE-100.159.718,Münchenstein,BL
Eugen Wirz & Co. AG,CHE-107.303.413,Basel,BS
Eugstar Cosmetics Ltd,CHE-103.688.717,Basel,BS
Eulenparkhof AG,CHE-100.647.001,Münchenstein,BL
Euler AG,CHE-352.348.274,Basel,BS
Euler Praxis AG,CHE-283.610.616,Basel,BS
Eumedica Pharmaceuticals AG,CHE-103.364.522,Basel,BS
Euphalt AG,CHE-101.365.166,Basel,BS
Euporos Investment Ltd. in liq.,CHE-364.718.975,Basel,BS
Eurawide AG,CHE-100.771.902,Riehen,BS
Eurenda AG,CHE-177.805.045,Basel,BS
Eurimmo AG,CHE-110.057.864,Riehen,BS
EuroBasilea AG,CHE-438.605.521,Muttenz,BL
EURO BAU AG,CHE-101.581.497,Basel,BS
Eurocapital Invest AG,CHE-101.549.163,Basel,BS
Eurofima Europäische Gesellschaft für die Finanzierung von Eisenbahnmaterial,CHE-107.738.053,Basel,BS
EuroHolding AG,CHE-109.488.588,Basel,BS
Euroinvest AG,CHE-350.832.642,Binningen,BL
Euromat AG,CHE-472.823.474,Basel,BS
Europa Apotheke AG,CHE-349.817.914,Basel,BS
Europäisches Institut für Berufsbildung FIB AG,CHE-108.644.408,Basel,BS
EUROPEAN Consulting Group AG,CHE-451.963.810,Basel,BS
EUROPEAN DYNAMICS SWISS AG,CHE-295.292.747,Basel,BS
Eurosec AG,CHE-377.537.420,Sissach,BL
Euro Shipping AG,CHE-101.223.810,Basel,BS
Eurosina AG in Liquidation,CHE-112.700.441,Basel,BS
Eurosped AG,CHE-109.513.105,Pratteln,BL
Eurotrade AG,CHE-103.697.449,Biel-Benken,BL
Eurotraffic AG,CHE-100.898.388,Birsfelden,BL
Eusana AG,CHE-102.314.823,Basel,BS
EU Sportmanagement AG,CHE-292.546.561,Basel,BS
Euxaton AG,CHE-197.579.455,Binningen,BL
Euxinus AG,CHE-102.631.011,Binningen,BL
EVAG AG,CHE-105.366.006,Füllinsdorf,BL
EV Arlesheim Immobilien AG,CHE-302.353.238,Arlesheim,BL
EV Basel-City Immobilien AG,CHE-348.258.840,Basel,BS
EV Basel Commercial Immobilien AG,CHE-292.858.150,Basel,BS
EVE Immo AG,CHE-464.377.082,Füllinsdorf,BL
Event Hotel Basel AG,CHE-110.298.623,Basel,BS
EventSpirit Holding AG,CHE-223.346.077,Basel,BS
EveryCook AG in Liquidation,CHE-145.353.547,Waldenburg,BL
EveryFin AG in Liquidation,CHE-381.363.962,Binningen,BL
E.V.G. AG,CHE-101.213.697,Basel,BS
Evideep AG,CHE-415.998.669,Basel,BS
EV Liestal Immobilien AG,CHE-161.181.463,Liestal,BL
EVO Engineering AG,CHE-305.196.515,Laufen,BL
evolerate AG,CHE-231.774.038,Basel,BS
Evolva Holding SA,CHE-108.641.858,Reinach (BL),BL
EVONEERS AG,CHE-382.796.737,Basel,BS
Evvima AG,CHE-379.314.782,Muttenz,BL
Ewellix Switzerland AG,CHE-100.393.881,Liestal,BL
ExactaPro AG,CHE-105.111.506,Basel,BS
Exactio AG,CHE-135.834.331,Basel,BS
Exanda AG,CHE-109.477.461,Therwil,BL
Exapoint Solutions AG,CHE-113.331.961,Basel,BS
Excellence Kanal Service AG,CHE-202.951.232,Muttenz,BL
